industry,applied,received,intended
Manufacturing,8.6,1.3,6.6
"Water Supply, Sewerage, Waste Management And Remediation Activities",10.0,4.3,7.1
Construction,9.6,1.8,11.0
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,9.0,1.5,8.3
Accommodation And Food Service Activities,20.6,3.5,12.2
Transportation And Storage,9.2,2.5,7.4
Information And Communication,3.8,1.0,5.0
"Professional, Scientific And Technical Activities",8.1,2.3,7.4
Administrative And Support Service Activities,12.3,1.7,9.0
Education,2.8,0.0,6.6
Human Health And Social Work Activities,2.8,0.0,1.4
"Arts, Entertainment And Recreation",18.3,4.3,10.8
All Industries,9.9,1.8,8.0
