industry,applied,received,intended
Manufacturing,14.0,7.9,8.1
"Water Supply, Sewerage, Waste Management And Remediation Activities",15.7,4.3,7.1
Construction,13.5,5.7,3.2
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,44.6,33.4,9.3
Accommodation And Food Service Activities,78.2,63.3,18.0
Transportation And Storage,24.1,14.5,9.6
Information And Communication,8.2,3.1,7.0
"Professional, Scientific And Technical Activities",12.6,7.8,7.3
Administrative And Support Service Activities,20.1,12.0,8.9
Education,8.5,3.8,9.8
Human Health And Social Work Activities,13.4,9.2,4.2
"Arts, Entertainment And Recreation",57.2,45.0,12.2
All Industries,27.4,19.1,9.1
