industry,applied,received,intended
Manufacturing,63.5,19.9,38.3
"Water Supply, Sewerage, Waste Management And Remediation Activities",68.6,28.6,38.6
Construction,80.9,29.1,42.9
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,72.6,23.9,32.1
Accommodation And Food Service Activities,87.1,25.1,40.4
Transportation And Storage,76.6,28.7,35.5
Information And Communication,40.1,15.4,26.0
"Professional, Scientific And Technical Activities",62.2,21.6,35.0
Administrative And Support Service Activities,75.7,28.0,40.1
Education,40.5,9.8,45.9
Human Health And Social Work Activities,34.5,8.5,31.0
"Arts, Entertainment And Recreation",76.3,21.9,41.0
All Industries,67.2,22.2,36.8
