industry,applied,received,intended
Manufacturing,44.3,33.0,16.7
"Water Supply, Sewerage, Waste Management And Remediation Activities",57.1,37.1,22.9
Construction,59.9,44.3,17.4
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,60.1,46.9,15.8
Accommodation And Food Service Activities,80.6,59.6,23.5
Transportation And Storage,55.3,44.0,19.9
Information And Communication,47.4,39.7,16.3
"Professional, Scientific And Technical Activities",66.2,51.8,22.8
Administrative And Support Service Activities,63.7,46.9,22.7
Education,26.3,18.4,17.4
Human Health And Social Work Activities,16.2,15.5,9.9
"Arts, Entertainment And Recreation",61.2,43.5,21.2
All Industries,56.4,42.7,19.0
