industry,applied,received,intended
Manufacturing,19.3,14.7,9.2
"Water Supply, Sewerage, Waste Management And Remediation Activities",21.4,15.7,14.3
Construction,28.7,23.4,9.6
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,25.0,18.3,7.6
Accommodation And Food Service Activities,42.2,30.6,13.7
Transportation And Storage,24.8,18.8,7.8
Information And Communication,13.7,10.6,6.7
"Professional, Scientific And Technical Activities",18.6,14.6,8.3
Administrative And Support Service Activities,20.5,14.7,10.2
Education,7.0,5.7,2.2
Human Health And Social Work Activities,6.3,4.2,5.6
"Arts, Entertainment And Recreation",33.1,25.5,10.4
All Industries,22.3,16.8,8.8
