industry,applied,received,intended
Manufacturing,26.0,23.7,48.1
"Water Supply, Sewerage, Waste Management And Remediation Activities",21.4,24.3,45.7
Construction,11.7,27.0,42.2
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,15.5,16.0,53.8
Accommodation And Food Service Activities,2.7,12.9,39.8
Transportation And Storage,16.7,18.4,48.9
Information And Communication,37.3,12.7,58.7
"Professional, Scientific And Technical Activities",20.7,17.6,50.3
Administrative And Support Service Activities,13.9,20.6,45.0
Education,48.4,22.8,42.1
Human Health And Social Work Activities,55.6,14.1,58.5
"Arts, Entertainment And Recreation",12.0,17.6,39.2
All Industries,20.7,18.9,48.2
