industry,applied,received,intended
Manufacturing,4.8,2.6,2.8
"Water Supply, Sewerage, Waste Management And Remediation Activities",5.7,1.4,2.9
Construction,6.0,2.1,5.0
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,13.3,9.1,4.2
Accommodation And Food Service Activities,24.9,17.8,6.1
Transportation And Storage,6.4,2.5,2.1
Information And Communication,3.6,1.7,2.9
"Professional, Scientific And Technical Activities",4.9,2.2,2.3
Administrative And Support Service Activities,21.8,14.4,6.3
Education,2.2,0.0,0.0
Human Health And Social Work Activities,10.6,7.0,3.5
"Arts, Entertainment And Recreation",18.0,10.8,5.8
All Industries,11.2,7.0,3.9
